invoice_no,vendor_id,invoice_date,currency,po_number,amount,status,invoice_description,lines_description,billing_tax_id,billing_address
5105600097,0000108710,2025-04-05,USD,4500000054,13810.87,posted,"paprika extract consignments, Jan-Mar 2025 as per agreement","[""paprika extract consignments, Jan-Mar 2025""]",,"154 Millrace Blvd, Louisville KY, 55516, US"
5105600098,0000152493,2025-07-20,USD,4500000030,97657.61,posted,"polystyrene sheet - goods supplied, Apr-Jun 2025","[{""sno"": 1, ""text"": ""polystyrene sheet - goods supplied, Apr-Jun 2025"", ""qty"": 1, ""amount"": ""74915.82""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""22741.79""}]",518363806,"159 Depot St, Fresno CA, 51800, US"
5105600099,0000106235,2024-07-03,USD,4500000053,23954.77,posted,"Billing - supply of cane sugar, April to June 2024","[""supply of cane sugar, April to June 2024""]",68-1680926,"161 Beckford Rd, Louisville KY, 83872, US"
5105600100,0000136938,2025-01-28,USD,4500000070,45681.66,posted,"Invoice for supply of emulsifier blend, October to December 2024","[""supply of emulsifier blend, October to December 2024""]",61-6339473,"195 Ironworks Parkway, Tacoma WA, 20473, US"
5105600101,0000119925,2024-10-17,USD,4500000060,20619.19,posted,"supply of paprika extract, July to September 2024","[{""sno"": 1, ""text"": ""supply of paprika extract, July to September 2024"", ""qty"": 1, ""amount"": ""6541.69""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""5560.52""}, {""sno"": 3, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""8516.98""}]",,"50 Depot Street, Fresno CA, 60214, US"
5105600102,0000135271,2025-04-25,EUR,4500000019,10088.43,posted,"Tax invoice: charges for emulsifier blend, January to March 2025","[{""sno"": 1, ""text"": ""charges for emulsifier blend, January to March 2025"", ""qty"": 1, ""amount"": ""10088.43""}]",NO799206041MVA,"Havnegata 195, Trondheim, 9843, NO"
5105600103,0000157291,2024-10-06,USD,4500000033,48812.91,posted,"provision of plant engineering support, third quarter 2024","[{""sno"": 1, ""text"": ""provision of plant engineering support, third quarter 2024"", ""qty"": 1, ""amount"": ""48812.91""}]",45-2474884,"215 Depot St, Fresno CA, 81130"
5105600104,0000119925,2025-01-22,USD,4500000010,7750.54,posted,"Billing - charges for invert syrup, fourth quarter 2024","[{""sno"": 1, ""text"": ""charges for invert syrup, fourth quarter 2024"", ""qty"": 1, ""amount"": ""4409.05""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""3341.49""}]",57-9067774,"50 Depot Street, Fresno CA, US"
5105600105,0000121608,2024-04-23,EUR,4500000061,69594.79,posted,"Billing - charges for metofluthrin, first quarter 2024","[""charges for metofluthrin, first quarter 2024"", ""delivery charges"", ""fuel surcharge""]",,"Werkstrasse 31, Nuernberg, 83139, DE"
5105600106,0000155836,2025-05-02,USD,4500000032,5645.78,posted,"boiler inspection works, month of March 2025 as per agreement","[{""sno"": 1, ""text"": ""boiler inspection works, month of March 2025"", ""qty"": 1, ""amount"": ""3196.21""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""544.83""}, {""sno"": 3, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""1904.74""}]",60-5517580,"87 Union Wharf Drive, Newark NJ, 20821, US"
5105600107,0000183704,2025-04-11,USD,4500000100,83038.23,posted,"Billing - supply of invert syrup, Jan-Mar 2025","[""supply of invert syrup, Jan-Mar 2025""]",295688443,"218 Cooperage Drive, Tacoma WA, US"
5105600108,0000160317,2024-07-11,USD,4500000085,4870.63,posted,"preventive maintenance carried out, April to June 2024 as per agreement","[{""sno"": 1, ""text"": ""preventive maintenance carried out, April to June 2024"", ""qty"": 1, ""amount"": ""812.45""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""4058.18""}]",,"130 Harbor Point Rd, Milwaukee WI, 71714, US"
5105600109,0000172588,2025-10-18,USD,4500000093,44980.78,posted,"Billing - charges for conveyor servicing, July to September 2025","[{""sno"": 1, ""text"": ""charges for conveyor servicing, July to September 2025"", ""qty"": 1, ""amount"": ""25372.91""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""19607.87""}]",12-6965603,"177 Millrace Boulevard, Louisville KY, US"
5105600110,0000167802,2024-11-06,USD,4500000040,9284.02,posted,"Invoice for charges for boiler inspection, third quarter 2024","[{""sno"": 1, ""text"": ""charges for boiler inspection, third quarter 2024"", ""qty"": 1, ""amount"": ""9284.02""}]",92-3944387,"217 Kiln Lane, Milwaukee WI, 83103, US"
5105600111,0000125730,2025-07-29,USD,4500000063,22843.89,posted,"Billing - vitamin E acetate deliveries, second quarter 2025","[""vitamin E acetate deliveries, second quarter 2025""]",,"40 Harbor Point Road, Fresno CA, 19753"
5105600112,0000125730,2025-10-05,USD,4500000063,31003.58,posted,"Tax invoice: vitamin E acetate - goods supplied, July to September 2025","[{""sno"": 1, ""text"": ""vitamin E acetate - goods supplied, July to September 2025"", ""qty"": 1, ""amount"": ""9287.45""}, {""sno"": 2, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""21716.13""}]",655541640,"40 Harbor Point Road, Fresno CA, US"
5105600113,0000178835,2025-10-07,USD,4500000097,15122.05,posted,"Tax invoice: outbound distribution - services rendered, month of September 2025","[{""sno"": 1, ""text"": ""outbound distribution - services rendered, month of September 2025"", ""qty"": 1, ""amount"": ""15122.05""}]",65-3769642,"45 Cooperage Drive, Savannah GA, US"
5105600114,0000116877,2024-07-14,EUR,4500000058,12341.32,posted,"charges for invert syrup, second quarter 2024 as per agreement","[""charges for invert syrup, second quarter 2024""]",NL 323042355B01,"Industrieweg 117, Eindhoven, 5205 QE, NL"
5105600115,0000138405,2024-10-24,USD,4500000021,34016.79,posted,"Invoice for charges for polystyrene sheet, Jul-Sep 2024","[""charges for polystyrene sheet, Jul-Sep 2024""]",893799578,"209 Union Wharf Dr, Louisville KY, 98835, US"
5105600116,0000178835,2025-10-19,USD,4500000097,15617.83,posted,"Invoice for outbound distribution carried out, September 2025","[{""sno"": 1, ""text"": ""outbound distribution carried out, September 2025"", ""qty"": 1, ""amount"": ""15617.83""}]",65-3769642,"45 Cooperage Dr, Savannah GA, 53750, US"
5105600117,0000148194,2024-07-11,USD,4500000077,101612.48,posted,"corrugated carton - goods supplied, Apr-Jun 2024 as per agreement","[""corrugated carton - goods supplied, Apr-Jun 2024"", ""packaging and freight""]",29-7179192,"113 Canal Street, Tacoma WA, US"
5105600118,0000164918,2024-05-01,USD,4500000088,102221.15,posted,"emergency callout support carried out, first quarter 2024 as per agreement","[""emergency callout support carried out, first quarter 2024""]",881612721,"157 Cooperage Drive, Louisville KY, 76756, US"
5105600119,0000138405,2025-01-07,USD,4500000071,24169.93,posted,"Invoice for supply of corrugated carton, fourth quarter 2024","[{""sno"": 1, ""text"": ""supply of corrugated carton, fourth quarter 2024"", ""qty"": 1, ""amount"": ""12717.61""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""4642.08""}, {""sno"": 3, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""6810.24""}]",893799578,"209 Union Wharf Drive, Louisville KY, 98835, US"
5105600120,0000119925,2024-07-19,USD,4500000060,27013.78,posted,"charges for invert syrup, second quarter 2024","[{""sno"": 1, ""text"": ""charges for invert syrup, second quarter 2024"", ""qty"": 1, ""amount"": ""20254.54""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""6759.24""}]",579067774,"50 Depot Street, Fresno CA, 60214, US"
5105600121,0000132157,2024-04-20,USD,4500000064,34621.27,parked,"Tax invoice: avobenzone deliveries, Jan-Mar 2024","[""avobenzone deliveries, Jan-Mar 2024""]",78-9936017,"173 Beckford Road, Milwaukee WI, 59218, US"
5105600122,0000161885,2024-09-04,USD,4500000095,2185.95,parked,"Tax invoice: plant engineering support works, Jul/2024","[""plant engineering support works, Jul/2024""]",89-9357721,"65 Ironworks Parkway, Tacoma WA, US"
5105600123,0000144873,2025-04-11,USD,4500000027,33666.33,parked,"flexible film consignments, Jan-Mar 2025 as per agreement","[""flexible film consignments, Jan-Mar 2025""]",51-3586859,"196 Foundry Avenue, Cincinnati OH, US"
5105600124,0000177260,2024-07-30,USD,4500000091,17829.58,parked,"Tax invoice: warehouse handling works, April to June 2024","[{""sno"": 1, ""text"": ""warehouse handling works, April to June 2024"", ""qty"": 1, ""amount"": ""12370.85""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""5458.73""}]",70-6250260,"27 Harbor Point Road, Fresno CA, US"
5105600125,0000157291,2025-01-03,USD,4500000023,37028.77,parked,"charges for spare parts, Oct-Dec 2024 as per agreement","[{""sno"": 1, ""text"": ""charges for spare parts, Oct-Dec 2024"", ""qty"": 1, ""amount"": ""37028.77""}]",45-2474884,"215 Depot Street, Fresno CA, 81130, US"
5105600126,0000114501,2025-01-30,USD,4500000018,46682.52,parked,"Billing - corn syrup consignments, fourth quarter 2024","[{""sno"": 1, ""text"": ""corn syrup consignments, fourth quarter 2024"", ""qty"": 1, ""amount"": ""16033.15""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""30649.37""}]",74-7102493,"24 Depot Street, Newark NJ, 25923, US"
5105600127,0000183704,2025-12-29,USD,4500000037,7518.23,parked,"Tax invoice: refined flour consignments, Nov/2025","[""refined flour consignments, Nov/2025"", ""administration fee""]",295688443,"218 Cooperage Drive, Tacoma WA, 82307, US"
5105600128,0000146530,2024-07-06,USD,4500000032,20221.95,parked,"Invoice for shrink sleeve deliveries, Q2/2024","[""shrink sleeve deliveries, Q2/2024""]",54-8675281,"213 Foundry Avenue, Chicago IL, 82339, US"
5105600129,0000148194,2024-04-27,USD,4500000011,42831.97,parked,"Billing - polypropylene resin consignments, Jan-Mar 2024","[""polypropylene resin consignments, Jan-Mar 2024"", ""handling charges""]",29-7179192,"113 Canal St, Tacoma WA, 38604, US"
5105600130,0000180492,2026-01-15,USD,4500000073,4866.38,parked,"conveyor servicing carried out, fourth quarter 2025 as per agreement","[{""sno"": 1, ""text"": ""conveyor servicing carried out, fourth quarter 2025"", ""qty"": 1, ""amount"": ""4866.38""}]",26-9586837,"169 Ironworks Pkwy, Milwaukee WI, US"
5105600131,0000104882,2026-01-18,GBP,4500000046,32246.80,parked,"Tax invoice: blending and mixing - support, fourth quarter 2025","[{""sno"": 1, ""text"": ""blending and mixing - support, fourth quarter 2025"", ""qty"": 1, ""amount"": ""32246.80""}]",,"142 Quayside Trd Est, Sheffield, S4 1PO, GB"
5105600132,0000160317,2025-02-03,USD,4500000064,21455.41,parked,"facilities management activities, fourth quarter 2024 as per agreement","[{""sno"": 1, ""text"": ""facilities management activities, fourth quarter 2024"", ""qty"": 1, ""amount"": ""16788.75""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""4666.66""}]",43-6736587,"130 Harbor Point Rd, Milwaukee WI, 71714, US"
5105600133,0000149657,2025-04-13,USD,4500000031,34404.79,parked,"Invoice for work relating to warehouse operations, first quarter 2025","[{""sno"": 1, ""text"": ""work relating to warehouse operations, first quarter 2025"", ""qty"": 1, ""amount"": ""34404.79""}]",22-7691279,"159 Foundry Avenue, Tacoma WA, 35733, US"
5105600134,0000172588,2026-01-08,USD,4500000062,70419.38,parked,"facilities management - support, fourth quarter 2025 as per agreement","[{""sno"": 1, ""text"": ""facilities management - support, fourth quarter 2025"", ""qty"": 1, ""amount"": ""70419.38""}]",,"177 Millrace Boulevard, Louisville KY, 93623"
5105600135,0000108710,2024-02-23,USD,4500000056,5661.88,parked,"Billing - work relating to blending and mixing, January 2024","[{""sno"": 1, ""text"": ""work relating to blending and mixing, January 2024"", ""qty"": 1, ""amount"": ""5661.88""}]",622252212,"154 Millrace Blvd, Louisville KY, US"
5105600136,0000106235,2025-01-26,USD,4500000004,14433.42,parked,"line 2 capacity uplift civils activities, Oct-Dec 2024 as per agreement","[""line 2 capacity uplift civils activities, Oct-Dec 2024"", ""administration fee""]",68-1680926,"161 Beckford Road, Louisville KY, 83872, US"
5105600137,0000103417,2024-06-20,USD,4500000077,4125.79,parked,"Tax invoice: services for line 2 capacity uplift civils, May 2024","[""services for line 2 capacity uplift civils, May 2024""]",,"145 Kiln Ln, Newark NJ, 72705, US"
5105600138,0000116877,2024-08-02,EUR,4500000097,3009.92,parked,"line 2 capacity uplift civils activities, Apr-Jun 2024","[""line 2 capacity uplift civils activities, Apr-Jun 2024""]",NL323042355B01,"Industrieweg 117, Eindhoven, 5205 QE"
5105600139,0000164918,2024-10-15,USD,4500000027,32765.20,parked,"Invoice for work relating to boiler replacement programme, third quarter 2024","[""work relating to boiler replacement programme, third quarter 2024""]",88-1612721,"157 Cooperage Drive, Louisville KY, 76756, US"
5105600140,0000128449,2024-06-03,GBP,4500000063,31058.69,parked,"Billing - work relating to sunscreen range launch formulation, month of May 2024","[""work relating to sunscreen range launch formulation, month of May 2024""]",GB531231960,"167 Tannery Road, Bristol, BS27 5LZ, GB"
5105600141,0000180492,2025-10-23,USD,4500000031,6859.86,parked,"provision of conveyor servicing, Jul-Sep 2025","[{""sno"": 1, ""text"": ""provision of conveyor servicing, Jul-Sep 2025"", ""qty"": 1, ""amount"": ""6859.86""}]",26-9586837,"169 Ironworks Parkway, Milwaukee WI, 92426, US"
5105600142,0000180492,2025-01-28,USD,4500000081,9023.79,parked,"Invoice for charges for conveyor servicing, December 2024","[""charges for conveyor servicing, December 2024""]",26-9586837,"169 Ironworks Pkwy, Milwaukee WI, 92426, US"
5105600143,0000183704,2025-10-29,USD,4500000005,60525.50,parked,"Tax invoice: refined flour deliveries, third quarter 2025","[""refined flour deliveries, third quarter 2025""]",295688443,"218 Cooperage Drive, Tacoma WA, 82307, US"
5105600144,0000180492,2025-04-05,USD,4500000031,7764.07,parked,"Tax invoice: conveyor servicing works, January to March 2025","[""conveyor servicing works, January to March 2025""]",269586837,"169 Ironworks Pkwy, Milwaukee WI, 92426, US"
5105600145,0000180492,2025-04-30,USD,4500000031,5260.01,parked,"Billing - charges for conveyor servicing, Q1/2025","[""charges for conveyor servicing, Q1/2025""]",26-9586837,"169 Ironworks Pkwy, Milwaukee WI, 92426, US"
5105600146,0000182157,2025-04-10,USD,4500000044,20175.92,parked,"market research study, first quarter 2025 as per agreement","[""market research study, first quarter 2025""]",24-6614774,"209 Union Wharf Drive, Louisville KY, US"
5105600147,0000140112,2024-10-11,GBP,4500000029,8627.00,parked,"Tax invoice: office plant hire, Jul-Sep 2024","[{""sno"": 1, ""text"": ""office plant hire, Jul-Sep 2024"", ""qty"": 1, ""amount"": ""8627.00""}]",GB119756443,"104 Quayside Trading Estate, Swansea, SA13 8DV, GB"
5105600148,0000161885,2025-10-05,USD,4500000054,17524.75,parked,"trade show stand hire, third quarter 2025","[{""sno"": 1, ""text"": ""trade show stand hire, third quarter 2025"", ""qty"": 1, ""amount"": ""17524.75""}]",899357721,"65 Ironworks Pkwy, Tacoma WA, 56035"
5105600149,0000133604,2024-07-24,USD,4500000021,22858.91,parked,"brand photography shoot, April to June 2024","[""brand photography shoot, April to June 2024""]",75-7593168,"154 Kiln Ln, Chicago IL, 79549, US"
5105600150,0000143209,2025-01-26,USD,4500000076,12332.22,parked,"Tax invoice: brand photography shoot, October to December 2024","[{""sno"": 1, ""text"": ""brand photography shoot, October to December 2024"", ""qty"": 1, ""amount"": ""12332.22""}]",,"112 Ironworks Parkway, Chicago IL, 98375, US"
